Id,glat,glon,vmax_gust,vmax_sust,gust_dur,sust_dur
1,20.227,109.92,68.02004078,45.65103408,1230,855
2,20.237,109.93,68.28798903,45.83086512,1230,855
3,20.247,109.92,68.21133438,45.77941905,1245,870
4,20.247,109.93,68.35826304,45.87802888,1230,855
5,20.247,109.94,68.49115387,45.96721736,1230,870
6,20.247,110.12,70.29744943,47.17949626,1260,885
7,20.247,110.13,70.55971906,47.35551615,1260,870
8,20.247,110.14,70.61921613,47.39544707,1260,855
9,20.247,110.15,71.33804693,47.87788385,1275,870
10,20.247,110.16,71.07654311,47.70237792,1275,870
11,20.247,110.17,70.58077146,47.36964527,1275,855
12,20.247,110.18,71.19280491,47.78040598,1260,855
13,20.257,109.92,68.47458877,45.95609985,1245,870
14,20.257,109.93,68.61700348,46.05168019,1245,870
15,20.257,109.94,68.73858403,46.13327787,1230,885
16,20.257,109.95,68.83802248,46.20001509,1230,870
17,20.257,110.12,70.37807556,47.23360776,1260,870
18,20.257,110.13,70.24915048,47.14708086,1260,855
19,20.257,110.14,70.78036256,47.50359903,1260,855
20,20.257,110.15,71.47352035,47.96880561,1275,855
21,20.257,110.16,71.10274669,47.71996422,1275,855
22,20.257,110.17,70.86103506,47.55774165,1260,855
23,20.257,110.18,71.3225812,47.86750416,1260,855
24,20.257,110.19,72.23198151,48.47783994,1230,855
25,20.257,110.28,74.99010781,50.32893142,1245,855
26,20.267,109.93,68.50449736,45.97617273,1245,870
27,20.267,109.94,68.63494893,46.06372411,1245,870
28,20.267,109.95,68.76615423,46.15178136,1230,885
29,20.267,109.96,68.89233488,46.23646636,1230,885
30,20.267,110.01,69.50545812,46.64795847,1245,870
31,20.267,110.09,69.90996087,46.91943682,1245,870
32,20.267,110.1,70.33368609,47.20381617,1260,855
33,20.267,110.11,70.54241168,47.34390046,1260,855
34,20.267,110.12,70.53267519,47.3373659,1260,840
35,20.267,110.13,70.6984724,47.44863919,1260,840
36,20.267,110.14,70.92728603,47.60220539,1260,840
37,20.267,110.15,71.60967755,48.06018628,1230,855
38,20.267,110.16,71.1783732,47.77072027,1245,855
39,20.267,110.17,70.99581048,47.64819495,1260,855
40,20.267,110.18,71.40556487,47.9231979,1245,855
41,20.267,110.19,72.33196817,48.54494508,1245,855
42,20.267,110.25,74.54715725,50.03164916,1230,840
43,20.267,110.27,73.85677755,49.56830708,1245,840
44,20.267,110.28,74.95022765,50.30216621,1245,840
45,20.267,110.29,75.95323063,50.97532257,1245,855
46,20.267,110.3,75.84352379,50.90169382,1245,840
47,20.267,110.31,74.8680205,50.24699362,1230,840
48,20.267,110.32,76.0154645,51.01709027,1230,855
49,20.267,110.33,77.1108775,51.75226678,1245,840
50,20.277,109.94,68.74575662,46.13809169,1245,870
51,20.277,109.95,68.77641077,46.15866494,1245,885
52,20.277,109.96,68.76667264,46.15212929,1230,885
53,20.277,109.97,68.84059883,46.20174418,1230,885
54,20.277,110.01,69.5540116,46.6805447,1245,870
55,20.277,110.07,70.22487138,47.13078616,1260,870
56,20.277,110.08,70.26246429,47.1560163,1260,855
57,20.277,110.09,70.50396655,47.31809835,1245,870
58,20.277,110.1,70.39453574,47.24465486,1260,870
59,20.277,110.11,70.35152311,47.21578732,1260,840
60,20.277,110.12,70.69871517,47.44880213,1245,840
61,20.277,110.13,70.76895161,47.49594068,1245,840
62,20.277,110.14,71.04749969,47.6828857,1230,840
63,20.277,110.15,71.7544843,48.15737202,1230,840
64,20.277,110.16,71.3159947,47.86308369,1245,840
65,20.277,110.17,71.21829326,47.79751226,1245,840
66,20.277,110.18,71.43961464,47.9460501,1230,855
67,20.277,110.19,72.40078349,48.59112986,1230,855
68,20.277,110.2,73.21694368,49.13888838,1245,840
69,20.277,110.21,72.85815608,48.89809133,1230,840
70,20.277,110.22,71.7617425,48.16224329,1230,840
71,20.277,110.23,72.97968264,48.97965278,1230,825
72,20.277,110.24,73.9351302,49.62089275,1230,855
73,20.277,110.25,74.72381411,50.15021081,1230,840
74,20.277,110.26,74.30712881,49.87055625,1230,840
75,20.277,110.27,73.68810424,49.45510352,1230,840
76,20.277,110.28,74.84477959,50.2313957,1245,840
77,20.277,110.29,76.01545696,51.0170852,1245,840
78,20.277,110.3,76.13068163,51.0944172,1245,855
79,20.277,110.31,75.36417088,50.57998046,1245,840
80,20.277,110.32,75.80474257,50.87566615,1230,855
81,20.277,110.33,77.08605089,51.73560462,1230,855
82,20.287,109.94,68.73307632,46.12958142,1245,870
83,20.287,109.95,68.83986614,46.20125244,1245,885
84,20.287,109.96,68.91314636,46.2504338,1245,885
85,20.287,109.97,68.94036579,46.26870188,1230,885
86,20.287,109.98,69.36746053,46.55534264,1245,885
87,20.287,110,69.13715963,46.40077827,1245,870
88,20.287,110.01,69.44529603,46.60758123,1245,870
89,20.287,110.03,69.87470695,46.89577648,1245,870
90,20.287,110.06,69.97993926,46.96640219,1260,855
91,20.287,110.07,69.95698898,46.95099931,1260,840
92,20.287,110.08,70.34329985,47.21026836,1260,840
93,20.287,110.09,70.49838437,47.31435192,1260,855
94,20.287,110.1,70.52470196,47.33201474,1215,855
95,20.287,110.11,70.53003405,47.33559332,1230,840
96,20.287,110.12,70.3704992,47.22852295,1230,840
97,20.287,110.13,70.83616416,47.54104977,1215,840
98,20.287,110.14,71.14054973,47.74533539,1230,840
99,20.287,110.15,71.90869361,48.2608682,1230,825
100,20.287,110.16,71.51722096,47.99813487,1230,825
101,20.287,110.17,71.06588567,47.69522528,1245,840
102,20.287,110.18,71.42110294,47.93362613,1230,840
103,20.287,110.19,72.43097021,48.6113894,1230,855
104,20.287,110.2,73.36687723,49.23951492,1230,840
105,20.287,110.21,73.14472235,49.09041768,1230,840
106,20.287,110.22,71.9533614,48.29084657,1215,840
