TSID,TSENAME,TSCNAME,DDATETIME,TCID,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
108,rammasun,??????,7/12/2014 6:00,1409,TS,13.4,142.8,18,23,1002,,,,,,
108,rammasun,??????,7/12/2014 12:00,1409,TS,13.4,141.4,20,,999,,,,160,,
108,rammasun,??????,7/12/2014 18:00,1409,TS,13.4,140.1,20,,999,,,,160,,
108,rammasun,??????,7/13/2014 0:00,1409,TS,13.5,138.4,20,25,996,,,300,180,,
108,rammasun,??????,7/13/2014 6:00,1409,TS,13.7,136.8,23,28,992,,,330,200,100,
108,rammasun,??????,7/13/2014 12:00,1409,TS,13.5,134.4,23,28,992,,,330,220,120,
108,rammasun,??????,7/13/2014 18:00,1409,TS,13.5,131.8,23,28,992,,,,,,
108,rammasun,??????,7/14/2014 0:00,1409,TS,13.4,130.6,23,28,992,,,330,220,120,
108,rammasun,??????,7/14/2014 3:00,1409,STS,13.3,130,25,,988,,,,230,,
108,rammasun,??????,7/14/2014 6:00,1409,STS,13.1,129.3,30,38,980,,,330,230,130,50
108,rammasun,??????,7/14/2014 9:00,1409,TY,12.8,128.8,33,,975,,,,230,,60
108,rammasun,??????,7/14/2014 12:00,1409,TY,12.7,128.2,35,45,970,,,380,280,180,80
108,rammasun,??????,7/14/2014 15:00,1409,TY,12.7,127.5,35,,970,,,,280,,80
108,rammasun,??????,7/14/2014 18:00,1409,TY,12.8,126.8,38,48,965,,,400,300,200,100
108,rammasun,??????,7/14/2014 21:00,1409,TY,12.8,126.3,38,,965,,,,300,,130
108,rammasun,??????,7/15/2014 0:00,1409,TY,12.8,125.7,38,48,965,,,400,300,220,120
108,rammasun,??????,7/15/2014 3:00,1409,TY,12.9,125.3,40,,960,,,,300,,130
108,rammasun,??????,7/15/2014 6:00,1409,STY,13,124.7,45,55,950,,,400,300,220,120
108,rammasun,??????,7/15/2014 9:00,1409,STY,13.2,124.2,48,58,945,,,400,300,220,120
108,rammasun,??????,7/15/2014 12:00,1409,STY,13.3,123.4,45,55,948,,,400,300,220,120
108,rammasun,??????,7/15/2014 15:00,1409,STY,13.7,122.7,45,,950,,,,300,,130
108,rammasun,??????,7/15/2014 18:00,1409,STY,14,121.9,45,55,950,,,400,300,220,120
108,rammasun,??????,7/15/2014 21:00,1409,STY,14.2,121.1,42,52,955,,,400,300,230,130
108,rammasun,??????,7/16/2014 0:00,1409,TY,14.3,120.6,40,50,960,,,400,300,230,130
108,rammasun,??????,7/16/2014 3:00,1409,TY,14.6,119.9,38,48,965,,,400,300,230,130
108,rammasun,??????,7/16/2014 6:00,1409,TY,14.9,119.2,35,45,970,,,400,300,230,130
108,rammasun,??????,7/16/2014 7:00,1409,TY,15.2,118.9,35,45,970,,,,,,
108,rammasun,??????,7/16/2014 8:00,1409,TY,15.3,118.5,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 9:00,1409,TY,15.3,118.4,35,45,970,,,400,300,220,100
108,rammasun,??????,7/16/2014 10:00,1409,TY,15.3,118.1,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 11:00,1409,TY,15.4,117.9,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 12:00,1409,TY,15.5,117.8,35,45,970,,,400,300,220,130
108,rammasun,??????,7/16/2014 13:00,1409,TY,15.6,117.7,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 14:00,1409,TY,15.7,117.5,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 15:00,1409,TY,15.7,117.4,35,45,970,,,400,300,220,130
108,rammasun,??????,7/16/2014 16:00,1409,TY,15.8,117.2,35,43,970,,,,,,
108,rammasun,??????,7/16/2014 17:00,1409,TY,15.9,116.9,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 18:00,1409,TY,16,116.7,35,45,970,,,400,300,220,130
108,rammasun,??????,7/16/2014 19:00,1409,TY,16,116.6,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 20:00,1409,TY,16,116.5,35,,970,,,,370,,170
108,rammasun,??????,7/16/2014 21:00,1409,TY,16.1,116.4,35,45,970,,,400,300,220,120
108,rammasun,??????,7/16/2014 22:00,1409,TY,16.2,116.2,35,,970,,,,400,,180
108,rammasun,??????,7/16/2014 23:00,1409,TY,16.3,116,35,,970,,,,400,,180
108,rammasun,??????,7/17/2014 0:00,1409,TY,16.4,115.9,35,43,970,295,18,450,400,240,180
108,rammasun,??????,7/17/2014 1:00,1409,TY,16.5,115.7,35,,970,,,,400,,180
108,rammasun,??????,7/17/2014 2:00,1409,TY,16.5,115.5,35,,970,,,,400,,180
108,rammasun,??????,7/17/2014 3:00,1409,TY,16.5,115.5,38,45,965,293,18,450,400,,180
108,rammasun,??????,7/17/2014 4:00,1409,TY,16.6,115.4,38,,965,,,,400,,180
108,rammasun,??????,7/17/2014 5:00,1409,TY,16.7,115.3,38,,965,,,,400,,180
108,rammasun,??????,7/17/2014 6:00,1409,TY,16.8,115.2,40,50,960,298,15,480,350,260,160
108,rammasun,??????,7/17/2014 7:00,1409,TY,16.9,115,40,,960,,,,350,,160
108,rammasun,??????,7/17/2014 8:00,1409,TY,17,114.9,40,,960,,,,350,,160
108,rammasun,??????,7/17/2014 9:00,1409,STY,17.2,114.7,42,52,955,303,18,490,350,250,150
108,rammasun,??????,7/17/2014 10:00,1409,STY,17.3,114.6,42,,955,,,,350,,160
108,rammasun,??????,7/17/2014 11:00,1409,STY,17.4,114.4,42,,955,,,,350,,160
108,rammasun,??????,7/17/2014 12:00,1409,STY,17.5,114.3,42,52,955,305,17,490,350,250,160
108,rammasun,??????,7/17/2014 13:00,1409,STY,17.6,114.2,45,,950,,,,350,,160
108,rammasun,??????,7/17/2014 14:00,1409,STY,17.8,114.1,45,,950,,,,350,,160
