TSID,TCID,TSCNAME,TSENAME,DDATETIME,LEADTIME,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
108,1409,??????,rammasun,7/13/2014 0:00,12,STS,13.7,135.9,25,33,989,,,,240,140,
108,1409,??????,rammasun,7/13/2014 0:00,24,STS,13.6,133.1,30,38,980,,,,290,190,80
108,1409,??????,rammasun,7/13/2014 0:00,36,TY,13.6,130.4,35,43,971,,,,340,240,100
108,1409,??????,rammasun,7/13/2014 0:00,48,TY,14.3,127.6,40,50,960,,,,370,260,130
108,1409,??????,rammasun,7/13/2014 0:00,72,STY,15.5,123,45,55,948,,,,410,310,150
108,1409,??????,rammasun,7/13/2014 0:00,96,TY,16.9,117.6,35,43,971,,,,,,
108,1409,??????,rammasun,7/13/2014 0:00,120,TY,18.1,113.9,38,46,965,,,,,,
108,1409,??????,rammasun,7/13/2014 6:00,12,STS,13.6,134.1,28,33,985,,,,270,170,
108,1409,??????,rammasun,7/13/2014 6:00,24,STS,13.6,131.6,30,38,980,,,,290,190,80
108,1409,??????,rammasun,7/13/2014 6:00,36,TY,13.7,129,35,43,970,,,,340,240,100
108,1409,??????,rammasun,7/13/2014 6:00,48,TY,14.3,126.5,38,46,965,,,,370,270,120
108,1409,??????,rammasun,7/13/2014 6:00,72,TY,16,121.6,35,43,970,,,,340,240,100
108,1409,??????,rammasun,7/13/2014 6:00,96,TY,17.8,116.4,38,46,965,,,,,,
108,1409,??????,rammasun,7/13/2014 6:00,120,TY,20.2,112.4,35,43,970,,,,,,
108,1409,??????,rammasun,7/13/2014 12:00,12,STS,13.7,131.1,28,36,984,,,,270,170,
108,1409,??????,rammasun,7/13/2014 12:00,24,TY,13.8,128,33,41,975,,,,320,220,90
108,1409,??????,rammasun,7/13/2014 12:00,36,TY,14.4,124.9,38,45,965,,,,370,270,120
108,1409,??????,rammasun,7/13/2014 12:00,48,STY,14.9,122.7,42,52,956,,,,380,280,140
108,1409,??????,rammasun,7/13/2014 12:00,72,TY,17.6,117.5,35,43,971,,,,340,240,100
108,1409,??????,rammasun,7/13/2014 12:00,96,TY,19.6,113.2,38,45,965,,,,,,
108,1409,??????,rammasun,7/13/2014 12:00,120,TY,21.7,109.7,33,40,975,,,,,,
108,1409,??????,rammasun,7/14/2014 0:00,12,TY,13.4,127.7,33,43,975,,,,320,220,100
108,1409,??????,rammasun,7/14/2014 0:00,24,TY,13.7,125.2,33,43,975,,,,320,220,100
108,1409,??????,rammasun,7/14/2014 0:00,36,STS,14.4,122.7,30,38,980,,,,280,180,90
108,1409,??????,rammasun,7/14/2014 0:00,48,STS,15.5,120.3,30,38,980,,,,280,180,90
108,1409,??????,rammasun,7/14/2014 0:00,72,TY,18.3,115.2,33,43,975,,,,320,220,100
108,1409,??????,rammasun,7/14/2014 0:00,96,TD,19.9,112.5,,,,,,,,,
108,1409,??????,rammasun,7/14/2014 0:00,120,TD,22,108.6,,,,,,,,,
108,1409,??????,rammasun,7/14/2014 6:00,12,TY,13.1,126.6,33,43,975,,,,280,200,80
108,1409,??????,rammasun,7/14/2014 6:00,24,TY,13.9,124.2,33,43,975,,,,280,200,80
108,1409,??????,rammasun,7/14/2014 6:00,36,STS,14.8,121.8,30,38,980,,,,230,130,50
108,1409,??????,rammasun,7/14/2014 6:00,48,STS,16,119.6,28,36,985,,,,200,120,
108,1409,??????,rammasun,7/14/2014 6:00,72,TY,18.4,114.9,33,43,975,,,,300,200,100
108,1409,??????,rammasun,7/14/2014 6:00,96,TD,20.5,111,,,,,,,,,
108,1409,??????,rammasun,7/14/2014 6:00,120,TD,22.2,107.5,,,,,,,,,
108,1409,??????,rammasun,7/14/2014 12:00,12,TY,12.7,125.4,38,48,965,,,,300,200,100
108,1409,??????,rammasun,7/14/2014 12:00,24,TY,13.6,122.7,33,43,975,,,,250,150,70
108,1409,??????,rammasun,7/14/2014 12:00,36,STS,15,120.6,28,38,984,,,,200,100,
108,1409,??????,rammasun,7/14/2014 12:00,48,STS,16.3,118.4,30,40,980,,,,220,120,60
108,1409,??????,rammasun,7/14/2014 12:00,72,TY,18.8,114,38,48,965,,,,300,200,100
108,1409,??????,rammasun,7/14/2014 12:00,96,TY,20.8,110.3,38,48,965,,,,,,
108,1409,??????,rammasun,7/14/2014 12:00,120,TS,22.5,106.4,23,28,992,,,,,,
108,1409,??????,rammasun,7/14/2014 18:00,12,TY,13.1,124.5,38,48,965,,,,300,200,100
108,1409,??????,rammasun,7/14/2014 18:00,24,TY,13.9,122.2,33,43,975,,,,250,150,70
108,1409,??????,rammasun,7/14/2014 18:00,36,STS,15.1,120,28,36,984,,,,200,100,
108,1409,??????,rammasun,7/14/2014 18:00,48,STS,16.5,117.7,30,40,980,,,,220,120,60
108,1409,??????,rammasun,7/14/2014 18:00,72,TY,18.9,113.4,38,48,965,,,,300,200,100
108,1409,??????,rammasun,7/14/2014 18:00,96,STS,21,109.4,28,38,984,,,,,,
108,1409,??????,rammasun,7/14/2014 18:00,120,TS,22.8,105.2,18,23,998,,,,,,
108,1409,??????,rammasun,7/15/2014 0:00,12,TY,13.6,123.3,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 0:00,24,TY,14.7,121,33,43,975,,,,250,180,90
108,1409,??????,rammasun,7/15/2014 0:00,36,STS,15.9,119,28,36,985,,,,220,150,
108,1409,??????,rammasun,7/15/2014 0:00,48,STS,17.1,116.8,30,38,980,,,,230,160,80
108,1409,??????,rammasun,7/15/2014 0:00,72,TY,19.6,112,40,50,960,,,,320,240,140
108,1409,??????,rammasun,7/15/2014 0:00,96,TD,21.4,108.1,,,,,,,,,
108,1409,??????,rammasun,7/15/2014 0:00,120,TD,22.9,104.5,,,,,,,,,
108,1409,??????,rammasun,7/15/2014 6:00,12,TY,14,122.7,38,48,965,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 6:00,24,TY,15.2,120.3,33,43,975,,,,250,180,90
108,1409,??????,rammasun,7/15/2014 6:00,36,STS,16.4,117.9,30,38,980,,,,230,160,80
108,1409,??????,rammasun,7/15/2014 6:00,48,TY,17.8,115.6,38,48,965,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 6:00,72,STY,20.5,110.8,42,52,955,,,,300,220,120
108,1409,??????,rammasun,7/15/2014 6:00,96,TY,22.4,106.4,33,41,975,,,,,,
108,1409,??????,rammasun,7/15/2014 6:00,120,TD,23.8,102.9,16,21,1000,,,,,,
108,1409,??????,rammasun,7/15/2014 9:00,12,TY,14.2,122.4,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 9:00,24,TY,15.3,120.2,33,43,975,,,,250,180,90
108,1409,??????,rammasun,7/15/2014 9:00,36,TY,16.5,117.9,33,43,975,,,,250,180,90
108,1409,??????,rammasun,7/15/2014 9:00,48,TY,17.8,115.7,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 9:00,72,STY,20.3,110.8,42,52,955,,,,300,220,120
108,1409,??????,rammasun,7/15/2014 9:00,96,TD,22.2,106.6,,,,,,,,,
108,1409,??????,rammasun,7/15/2014 9:00,120,TD,23.8,103.2,,,,,,,,,
108,1409,??????,rammasun,7/15/2014 12:00,12,TY,14.3,120.9,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 12:00,24,TY,15.3,118.4,33,43,975,,,,250,180,90
108,1409,??????,rammasun,7/15/2014 12:00,36,TY,16.8,116.3,33,43,975,,,,250,180,90
108,1409,??????,rammasun,7/15/2014 12:00,48,TY,18.1,114.4,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 12:00,72,STY,20.4,109.7,42,52,955,,,,300,220,120
108,1409,??????,rammasun,7/15/2014 12:00,96,STS,21.9,106,25,33,988,,,,,,
108,1409,??????,rammasun,7/15/2014 12:00,120,TD,22.8,101.1,16,21,1000,,,,,,
108,1409,??????,rammasun,7/15/2014 18:00,12,TY,15,119.3,35,45,970,,,,270,180,90
108,1409,??????,rammasun,7/15/2014 18:00,24,TY,16.3,117,38,48,965,,,,280,190,100
108,1409,??????,rammasun,7/15/2014 18:00,36,TY,17.9,114.7,40,50,960,,,,290,200,110
108,1409,??????,rammasun,7/15/2014 18:00,48,STY,19.3,112.4,45,55,950,,,,300,220,120
108,1409,??????,rammasun,7/15/2014 18:00,72,TY,21.3,108.3,40,50,960,,,,290,200,110
108,1409,??????,rammasun,7/15/2014 18:00,96,TD,22.9,104.3,,,,,,,,,
108,1409,??????,rammasun,7/15/2014 21:00,12,STY,15.5,118.5,42,52,955,,,,300,230,130
108,1409,??????,rammasun,7/15/2014 21:00,24,STY,16.9,116,42,52,955,,,,300,230,130
108,1409,??????,rammasun,7/15/2014 21:00,36,STY,18.3,113.8,45,55,950,,,,320,250,150
108,1409,??????,rammasun,7/15/2014 21:00,48,STY,19.7,111.6,45,55,950,,,,320,250,150
108,1409,??????,rammasun,7/15/2014 21:00,72,TY,21.4,107.9,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/15/2014 21:00,96,TD,23,104.3,,,,,,,,,
108,1409,??????,rammasun,7/16/2014 0:00,12,STY,15.5,117.7,42,52,955,,,,320,250,150
108,1409,??????,rammasun,7/16/2014 0:00,24,STY,16.9,115.3,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 0:00,36,STY,18.4,113.3,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 0:00,48,STY,19.8,111,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 0:00,72,TY,21.5,107.7,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/16/2014 3:00,12,STY,15.8,117.4,42,52,955,,,,320,250,150
108,1409,??????,rammasun,7/16/2014 3:00,24,STY,17.2,114.9,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 3:00,36,STY,18.7,112.9,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 3:00,48,STY,20,110.6,42,52,955,,,,320,250,150
108,1409,??????,rammasun,7/16/2014 3:00,72,TY,21.6,107.4,35,45,970,,,,280,200,100
108,1409,??????,rammasun,7/16/2014 3:00,96,TD,22.7,104.5,,,,,,,,,
108,1409,??????,rammasun,7/16/2014 6:00,12,TY,16.2,116.7,40,50,960,,,,320,250,150
108,1409,??????,rammasun,7/16/2014 6:00,24,STY,17.5,114.5,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 6:00,36,STY,18.7,112.8,45,55,950,,,,350,280,160
108,1409,??????,rammasun,7/16/2014 6:00,48,STY,19.9,110.8,42,52,955,,,,320,250,150
108,1409,??????,rammasun,7/16/2014 6:00,72,STS,21.7,107.1,30,38,980,,,,250,150,80
108,1409,??????,rammasun,7/16/2014 6:00,96,STS,22.8,104.1,30,0,982,,,,,,
108,1409,??????,rammasun,7/16/2014 9:00,12,TY,16.4,116.3,40,50,960,,,,320,230,130
108,1409,??????,rammasun,7/16/2014 9:00,24,STY,17.7,114.2,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 9:00,36,STY,19.1,112.2,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 9:00,48,TY,20.4,109.8,40,50,960,,,,320,230,130
108,1409,??????,rammasun,7/16/2014 9:00,60,TY,21.1,107.9,40,50,960,293,17,420,320,230,130
108,1409,??????,rammasun,7/16/2014 9:00,72,STS,21.9,106.1,25,33,989,,,,240,140,
108,1409,??????,rammasun,7/16/2014 12:00,12,TY,16.9,115.4,40,50,960,,,,320,240,140
108,1409,??????,rammasun,7/16/2014 12:00,24,STY,18.3,113.3,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 12:00,36,STY,19.6,111.3,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 12:00,48,TY,20.5,109.5,40,50,960,,,,320,240,140
108,1409,??????,rammasun,7/16/2014 12:00,60,TY,21.1,107.6,38,46,965,289,16,,280,200,100
108,1409,??????,rammasun,7/16/2014 12:00,72,STS,21.8,105.4,25,33,986,,,,250,150,
108,1409,??????,rammasun,7/16/2014 12:00,96,STS,23,101.7,25,0,987,289,16,,,,
108,1409,??????,rammasun,7/16/2014 15:00,12,TY,17,115.3,40,50,960,,,,320,240,140
108,1409,??????,rammasun,7/16/2014 15:00,24,STY,18.4,113.2,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 15:00,36,STY,19.7,111.1,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 15:00,48,TY,20.6,109.3,40,50,960,,,,320,240,140
108,1409,??????,rammasun,7/16/2014 15:00,72,TS,21.8,105.2,23,28,985,,,,250,150,
108,1409,??????,rammasun,7/16/2014 18:00,12,TY,17.4,114.7,40,50,960,,,,320,240,140
108,1409,??????,rammasun,7/16/2014 18:00,24,STY,18.7,112.8,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 18:00,36,STY,19.9,110.7,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 18:00,48,TY,20.8,108.8,35,45,970,,,,280,180,80
108,1409,??????,rammasun,7/16/2014 18:00,72,TS,22,104.9,18,23,996,,,,150,,
108,1409,??????,rammasun,7/16/2014 21:00,12,STY,17.5,114.5,42,52,955,,,,320,240,140
108,1409,??????,rammasun,7/16/2014 21:00,24,STY,18.8,112.6,45,55,950,,,,350,250,150
108,1409,??????,rammasun,7/16/2014 21:00,36,TY,19.9,110.6,40,50,960,,,,300,230,130
108,1409,??????,rammasun,7/16/2014 21:00,48,TY,20.8,108.6,35,45,970,,,,300,220,120
108,1409,??????,rammasun,7/16/2014 21:00,72,TD,22.1,104.6,16,21,999,,,,,,
108,1409,??????,rammasun,7/17/2014 0:00,12,TY,18.1,113.8,40,50,960,310,24,480,400,260,130
108,1409,??????,rammasun,7/17/2014 0:00,24,STY,19.3,111.8,42,52,956,301,20,490,400,280,140
108,1409,??????,rammasun,7/17/2014 0:00,36,TY,20.2,109.7,35,43,971,293,20,450,370,240,100
108,1409,??????,rammasun,7/17/2014 0:00,48,TY,21.2,107.5,33,41,975,296,21,,370,220,90
108,1409,??????,rammasun,7/17/2014 0:00,60,TS,21.6,105.6,20,25,996,281,16,300,250,,
108,1409,??????,rammasun,7/17/2014 0:00,72,TD,21.5,103.8,15,20,1001,269,15,,,,
108,1409,??????,rammasun,7/17/2014 3:00,12,STY,18.2,113.5,42,52,956,311,23,490,420,280,140
108,1409,??????,rammasun,7/17/2014 3:00,24,STY,19.5,111.3,45,55,948,301,22,520,450,310,150
108,1409,??????,rammasun,7/17/2014 3:00,36,TY,20.7,109.5,35,43,971,305,19,450,380,240,100
108,1409,??????,rammasun,7/17/2014 3:00,48,TY,21.7,107.2,33,41,975,294,21,430,350,220,90
108,1409,??????,rammasun,7/17/2014 3:00,60,TS,22.1,105.1,18,23,998,281,18,280,200,,
108,1409,??????,rammasun,7/17/2014 3:00,72,TD,22.8,101.8,15,20,1001,283,29,,,,
108,1409,??????,rammasun,7/17/2014 6:00,12,STY,18.4,113.4,45,55,948,313,21,520,380,280,180
108,1409,??????,rammasun,7/17/2014 6:00,24,STY,19.8,111.2,45,55,948,302,22,520,380,280,180
108,1409,??????,rammasun,7/17/2014 6:00,36,TY,21,109,40,50,960,299,20,480,350,260,160
108,1409,??????,rammasun,7/17/2014 6:00,48,STS,21.7,106.6,30,38,980,289,21,400,280,190,80
108,1409,??????,rammasun,7/17/2014 6:00,60,TD,22.3,104.7,16,21,1000,288,17,,,,
108,1409,??????,rammasun,7/17/2014 6:00,72,TD,23.5,100.9,12,17,1004,293,35,,,,
108,1409,??????,rammasun,7/17/2014 9:00,12,STY,18.8,112.6,48,58,941,307,23,550,440,330,170
108,1409,??????,rammasun,7/17/2014 9:00,24,STY,20.1,110.4,45,55,948,301,22,520,410,310,150
108,1409,??????,rammasun,7/17/2014 9:00,36,TY,21.1,108.8,40,50,960,302,17,480,370,260,130
108,1409,??????,rammasun,7/17/2014 9:00,48,STS,22.1,106.8,30,38,980,293,19,400,290,190,80
108,1409,??????,rammasun,7/17/2014 9:00,60,TD,22.9,103.6,15,20,1001,288,27,,,,
108,1409,??????,rammasun,7/17/2014 9:00,72,TD,23.2,100.9,12,17,1004,276,23,,,,
108,1409,??????,rammasun,7/17/2014 12:00,12,STY,18.9,112.5,50,63,936,310,20,540,400,300,180
108,1409,??????,rammasun,7/17/2014 12:00,24,STY,20.2,110.6,42,52,956,305,20,490,350,250,160
108,1409,??????,rammasun,7/17/2014 12:00,36,TY,21.4,108.6,38,46,965,302,20,480,320,220,120
108,1409,??????,rammasun,7/17/2014 12:00,48,STS,22.4,106.4,28,36,984,295,21,380,240,120,
