TSID,TCID,TSCNAME,TSENAME,DDATETIME,LEADTIME,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
117,1417,????,KALMAEGI,9/12/2014 0:00,12,TS,14.2,130,20,25,995,278,24,300,190,,
117,1417,????,KALMAEGI,9/12/2014 0:00,24,STS,14.6,127.9,28,35,985,280,19,380,270,170,
117,1417,????,KALMAEGI,9/12/2014 0:00,36,TY,15.2,125.7,33,43,975,287,15,430,320,220,90
117,1417,????,KALMAEGI,9/12/2014 0:00,48,TY,15.8,124,38,45,965,289,16,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 0:00,60,TY,16.55,121.8,40,50,960,289,20,480,370,260,130
117,1417,????,KALMAEGI,9/12/2014 0:00,72,TY,17.3,119.7,35,45,970,290,19,450,340,240,100
117,1417,????,KALMAEGI,9/12/2014 0:00,96,STY,19,114.8,42,52,955,290,22,490,380,280,140
117,1417,????,KALMAEGI,9/12/2014 0:00,120,TY,21.3,109.6,40,50,960,295,25,480,370,260,130
117,1417,????,KALMAEGI,9/12/2014 6:00,12,TS,14.3,129.4,23,28,992,286,16,330,220,120,
117,1417,????,KALMAEGI,9/12/2014 6:00,24,STS,14.8,127.6,30,38,980,286,15,400,290,190,80
117,1417,????,KALMAEGI,9/12/2014 6:00,36,TY,15.6,126.1,35,43,965,298,15,450,340,240,100
117,1417,????,KALMAEGI,9/12/2014 6:00,48,STY,16.7,123.8,48,58,945,294,22,550,440,330,170
117,1417,????,KALMAEGI,9/12/2014 6:00,60,TY,17.5,121.3,40,50,955,283,23,480,370,260,130
117,1417,????,KALMAEGI,9/12/2014 6:00,72,TY,18.4,118.8,38,46,960,290,23,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 6:00,96,STY,20.2,112.9,48,58,940,287,27,550,440,330,170
117,1417,????,KALMAEGI,9/12/2014 6:00,120,TY,21.7,107.1,35,43,971,285,25,450,340,240,100
117,1417,????,KALMAEGI,9/12/2014 12:00,12,STS,14.2,128.7,25,33,990,289,13,350,240,140,
117,1417,????,KALMAEGI,9/12/2014 12:00,24,TY,15.2,126.9,33,43,970,299,18,430,320,220,90
117,1417,????,KALMAEGI,9/12/2014 12:00,36,TY,16.3,125.1,38,45,965,302,19,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 12:00,48,STY,17.1,122.9,48,58,940,291,20,550,440,330,170
117,1417,????,KALMAEGI,9/12/2014 12:00,60,TY,18,120.2,40,50,960,284,25,480,370,260,130
117,1417,????,KALMAEGI,9/12/2014 12:00,72,TY,18.9,117.4,38,45,965,288,26,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 12:00,96,STY,21,111,48,58,941,288,29,550,440,330,170
117,1417,????,KALMAEGI,9/12/2014 12:00,120,STS,22.2,105.3,30,38,980,280,25,400,290,190,80
117,1417,????,KALMAEGI,9/12/2014 18:00,12,STS,14.5,127.7,30,38,980,298,17,400,290,190,80
117,1417,????,KALMAEGI,9/12/2014 18:00,24,TY,15.5,126,38,45,965,301,17,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 18:00,36,STY,16.6,124,42,52,956,299,20,490,380,280,140
117,1417,????,KALMAEGI,9/12/2014 18:00,48,STY,17.7,121.5,45,55,948,294,24,520,410,310,150
117,1417,????,KALMAEGI,9/12/2014 18:00,60,TY,18.5,118.8,35,43,971,287,24,450,340,240,100
117,1417,????,KALMAEGI,9/12/2014 18:00,72,TY,19.4,115.9,38,45,965,288,26,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 18:00,96,STY,21.1,109.4,45,55,948,285,29,520,410,310,150
117,1417,????,KALMAEGI,9/12/2014 18:00,120,STS,21.8,105,25,33,989,279,19,350,240,140,
117,1417,????,KALMAEGI,9/12/2014 21:00,12,TY,14.8,127.2,33,40,975,300,18,430,320,220,90
117,1417,????,KALMAEGI,9/12/2014 21:00,24,TY,15.9,125.3,40,50,960,300,19,480,370,260,130
117,1417,????,KALMAEGI,9/12/2014 21:00,36,STY,17,123.1,48,58,940,297,22,550,440,330,170
117,1417,????,KALMAEGI,9/12/2014 21:00,48,TY,18.1,120.3,35,43,970,291,26,450,340,240,100
117,1417,????,KALMAEGI,9/12/2014 21:00,60,TY,18.9,117.4,38,46,965,290,23,480,370,270,120
117,1417,????,KALMAEGI,9/12/2014 21:00,72,STY,19.9,114.4,42,52,956,291,28,490,380,280,140
117,1417,????,KALMAEGI,9/12/2014 21:00,96,TY,21.3,108.7,35,43,971,285,25,450,340,240,100
117,1417,????,KALMAEGI,9/12/2014 21:00,120,TS,22.2,103.6,20,25,996,278,21,300,190,,
