"πÿ¡™ID","Ã®∑Á±‡∫≈","÷–Œƒ√˚","”¢Œƒ√˚","‘§±® ±º‰( ¿ΩÁ ±)","‘§±® ±¥Œ£®–° ±£©","«ø∂»","Œ≥∂»","æ≠∂»","∑ÁÀŸ(m/s)","’Û∑Á£®m/s£©","∆¯—π£®∞Ÿ≈¡£©","“∆œÚ(∂»)","“∆ÀŸ(km/h)","6º∂∑Á»¶(km)","7º∂∑Á»¶(km)","8º∂∑Á»¶(km)","10º∂∑Á»¶(km)"
"TSID","TCID","TSCNAME","TSENAME","DDATETIME","LEADTIME","TCRANK","LATITUDE","LONGITUDE","WINDSPEED","GUST","PRESSURE","DIRECTION","SPEED","RR06","RR07","RR08","RR10"
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","06","TD","14.95","122.80","15","20","998","299","16","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","12","TS","15.40","122","18","23","995","299","16","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","120","TD","24","105.60","13","18","1002","311","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","18","TS","15.85","121.05","18","23","995","295","18","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","24","TS","16.30","120.10","18","23","995","295","18","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","36","TS","17.50","117.90","23","28","990","299","22","330","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","48","STS","18.50","116","28","36","985","298","19","380","270","170",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","60","STS","19.50","113.90","30","38","980","296","20","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","72","TY","20.50","111.60","35","45","975","294","21","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-1 6:00:00","96","STS","22.10","107.80","25","33","988","294","18","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","06","TD","15.40","122.15","16","21","1005","300","21","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","12","TD","16","121.10","16","21","1005","300","21","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","120","TD","23.40","104.70","13","18","1002","293","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","18","TD","16.60","120.20","16","21","1005","303","18","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","24","TS","17.10","119.10","18","23","1000","300","18","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","36","TS","17.90","117.50","23","28","990","300","13","330","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","48","STS","18.80","115.70","28","36","985","299","18","380","270","170",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","60","STS","19.80","113.70","30","38","980","298","20","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","72","TY","20.80","111.30","35","45","975","293","22","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-1 9:00:00","96","STS","22.10","107.60","25","33","988","292","17","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","06","TD","15.75","121.75","16","21","1000","298","21","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","12","TS","16.30","120.70","18","23","998","298","21","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","120","TD","23.30","105.60","13","18","1002","295","9","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","18","TS","16.85","119.70","20","25","995","299","20","300","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","24","TS","17.40","118.60","23","28","990","297","22","330","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","36","STS","18.50","116.60","25","33","985","300","20","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","48","STS","19.60","114.40","30","38","982","297","21","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","60","TY","20.50","112.20","33","43","980","294","21","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","72","STS","21.40","110.30","30","38","982","295","18","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 12:00:00","96","TS","22.50","107.70","20","25","995","293","12","300","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","06","TS","16.30","120.20","18","23","998","300","18","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","12","TS","16.90","119.20","18","23","998","299","20","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","120","TD","22.20","104","12","17","1002","280","9","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","18","TS","17.50","118.20","20","25","995","302","22","300","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","24","STS","18.20","117.10","25","33","990","303","22","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","36","STS","19.30","115","30","38","980","298","21","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","48","TY","20.30","112.50","33","43","975","292","23","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","60","TY","21.10","109.90","33","43","975","289","23","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","72","STS","21.50","108.30","28","36","985","283","14","380","270","170",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 18:00:00","96","TS","21.90","106.20","20","25","995","279","9","300","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","06","TS","16.45","119.35","18","23","998","296","22","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","12","TS","17","118.20","23","28","990","296","22","330","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","18","TS","17.50","117.10","23","28","990","295","21","330","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","24","STS","18","116","25","33","985","295","21","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","36","STS","19","113.80","30","38","980","295","21","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","48","TY","19.90","111.70","33","43","975","294","20","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","60","STS","20.90","109.50","30","38","980","295","20","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","72","STS","21.70","108.10","28","36","982","308","14","380","270","170",""
"156","1521","≤ ∫Á","mujigae","2015-10-1 21:00:00","96","TD","22.60","106.40","16","21","1002","300","8","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","06","TS","16.50","119.10","18","23","998","294","17","280","180","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","12","STS","17","118.10","25","33","985","297","20","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","18","STS","17.50","117.10","25","33","985","297","20","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","24","STS","18","116","30","38","980","295","21","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","36","TY","18.90","113.80","33","43","975","293","21","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","48","TY","19.90","111.30","35","45","970","292","23","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","60","TY","20.50","109.30","35","45","970","287","18","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","72","STS","21.20","108","30","38","980","299","13","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 0:00:00","96","TD","23.70","106.60","16","21","1002","332","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","06","TS","17.10","118.40","18","23","998","294","17","280","180","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","12","STS","17.50","117.50","25","33","985","294","17","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","18","STS","17.90","116.35","25","33","985","289","21","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","24","STS","18.30","115.20","30","38","980","289","21","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","36","TY","19.20","113","33","43","975","293","21","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","48","TY","20.10","110.60","35","45","970","291","22","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 3:00:00","60","TY","20.60","108.90","35","45","970","287","15","430","320","210","100"
