FID,lat1,lon1,lat2,lon2
0,20.222,109.915,20.232,109.925
1,20.232,109.925,20.242,109.935
2,20.242,109.915,20.252,109.925
3,20.242,109.925,20.252,109.935
4,20.242,109.935,20.252,109.945
5,20.242,110.115,20.252,110.125
6,20.242,110.125,20.252,110.135
7,20.242,110.135,20.252,110.145
8,20.242,110.145,20.252,110.155
9,20.242,110.155,20.252,110.165
10,20.242,110.165,20.252,110.175
11,20.242,110.175,20.252,110.185
12,20.252,109.915,20.262,109.925
13,20.252,109.925,20.262,109.935
14,20.252,109.935,20.262,109.945
15,20.252,109.945,20.262,109.955
16,20.252,110.115,20.262,110.125
17,20.252,110.125,20.262,110.135
18,20.252,110.135,20.262,110.145
19,20.252,110.145,20.262,110.155
20,20.252,110.155,20.262,110.165
21,20.252,110.165,20.262,110.175
22,20.252,110.175,20.262,110.185
23,20.252,110.185,20.262,110.195
24,20.252,110.275,20.262,110.285
25,20.262,109.925,20.272,109.935
26,20.262,109.935,20.272,109.945
27,20.262,109.945,20.272,109.955
28,20.262,109.955,20.272,109.965
29,20.262,110.005,20.272,110.015
30,20.262,110.085,20.272,110.095
31,20.262,110.095,20.272,110.105
32,20.262,110.105,20.272,110.115
33,20.262,110.115,20.272,110.125
34,20.262,110.125,20.272,110.135
35,20.262,110.135,20.272,110.145
36,20.262,110.145,20.272,110.155
37,20.262,110.155,20.272,110.165
38,20.262,110.165,20.272,110.175
39,20.262,110.175,20.272,110.185
40,20.262,110.185,20.272,110.195
41,20.262,110.245,20.272,110.255
42,20.262,110.265,20.272,110.275
43,20.262,110.275,20.272,110.285
44,20.262,110.285,20.272,110.295
45,20.262,110.295,20.272,110.305
46,20.262,110.305,20.272,110.315
47,20.262,110.315,20.272,110.325
48,20.262,110.325,20.272,110.335
49,20.272,109.935,20.282,109.945
50,20.272,109.945,20.282,109.955
51,20.272,109.955,20.282,109.965
52,20.272,109.965,20.282,109.975
53,20.272,110.005,20.282,110.015
54,20.272,110.065,20.282,110.075
55,20.272,110.075,20.282,110.085
56,20.272,110.085,20.282,110.095
57,20.272,110.095,20.282,110.105
58,20.272,110.105,20.282,110.115
59,20.272,110.115,20.282,110.125
60,20.272,110.125,20.282,110.135
61,20.272,110.135,20.282,110.145
62,20.272,110.145,20.282,110.155
63,20.272,110.155,20.282,110.165
64,20.272,110.165,20.282,110.175
65,20.272,110.175,20.282,110.185
66,20.272,110.185,20.282,110.195
67,20.272,110.195,20.282,110.205
68,20.272,110.205,20.282,110.215
69,20.272,110.215,20.282,110.225
70,20.272,110.225,20.282,110.235
71,20.272,110.235,20.282,110.245
72,20.272,110.245,20.282,110.255
73,20.272,110.255,20.282,110.265
74,20.272,110.265,20.282,110.275
75,20.272,110.275,20.282,110.285
76,20.272,110.285,20.282,110.295
77,20.272,110.295,20.282,110.305
78,20.272,110.305,20.282,110.315
79,20.272,110.315,20.282,110.325
80,20.272,110.325,20.282,110.335
81,20.282,109.935,20.292,109.945
82,20.282,109.945,20.292,109.955
83,20.282,109.955,20.292,109.965
84,20.282,109.965,20.292,109.975
85,20.282,109.975,20.292,109.985
86,20.282,109.995,20.292,110.005
87,20.282,110.005,20.292,110.015
88,20.282,110.025,20.292,110.035
89,20.282,110.055,20.292,110.065
90,20.282,110.065,20.292,110.075
91,20.282,110.075,20.292,110.085
92,20.282,110.085,20.292,110.095
93,20.282,110.095,20.292,110.105
94,20.282,110.105,20.292,110.115
95,20.282,110.115,20.292,110.125
96,20.282,110.125,20.292,110.135
97,20.282,110.135,20.292,110.145
98,20.282,110.145,20.292,110.155
99,20.282,110.155,20.292,110.165
100,20.282,110.165,20.292,110.175
101,20.282,110.175,20.292,110.185
102,20.282,110.185,20.292,110.195
103,20.282,110.195,20.292,110.205
104,20.282,110.205,20.292,110.215
105,20.282,110.215,20.292,110.225
106,20.282,110.225,20.292,110.235
107,20.282,110.235,20.292,110.245
108,20.282,110.245,20.292,110.255
109,20.282,110.255,20.292,110.265
110,20.282,110.265,20.292,110.275
111,20.282,110.275,20.292,110.285
112,20.282,110.285,20.292,110.295
113,20.282,110.295,20.292,110.305
114,20.282,110.305,20.292,110.315
115,20.282,110.315,20.292,110.325
116,20.282,110.325,20.292,110.335
117,20.282,110.335,20.292,110.345
118,20.282,110.345,20.292,110.355
119,20.292,109.935,20.302,109.945
120,20.292,109.945,20.302,109.955
121,20.292,109.955,20.302,109.965
122,20.292,109.965,20.302,109.975
123,20.292,109.975,20.302,109.985
124,20.292,109.985,20.302,109.995
125,20.292,109.995,20.302,110.005
126,20.292,110.005,20.302,110.015
127,20.292,110.015,20.302,110.025
128,20.292,110.025,20.302,110.035
129,20.292,110.035,20.302,110.045
130,20.292,110.045,20.302,110.055
131,20.292,110.055,20.302,110.065
132,20.292,110.065,20.302,110.075
133,20.292,110.075,20.302,110.085
134,20.292,110.085,20.302,110.095
135,20.292,110.095,20.302,110.105
136,20.292,110.105,20.302,110.115
137,20.292,110.115,20.302,110.125
138,20.292,110.125,20.302,110.135
139,20.292,110.135,20.302,110.145
140,20.292,110.145,20.302,110.155
141,20.292,110.155,20.302,110.165
142,20.292,110.165,20.302,110.175
143,20.292,110.175,20.302,110.185
144,20.292,110.185,20.302,110.195
145,20.292,110.195,20.302,110.205
146,20.292,110.205,20.302,110.215
147,20.292,110.215,20.302,110.225
148,20.292,110.225,20.302,110.235
149,20.292,110.235,20.302,110.245
150,20.292,110.245,20.302,110.255
151,20.292,110.255,20.302,110.265
152,20.292,110.265,20.302,110.275
153,20.292,110.275,20.302,110.285
154,20.292,110.285,20.302,110.295
155,20.292,110.295,20.302,110.305
156,20.292,110.305,20.302,110.315
157,20.292,110.315,20.302,110.325
158,20.292,110.325,20.302,110.335
159,20.292,110.335,20.302,110.345
160,20.292,110.345,20.302,110.355
161,20.302,109.935,20.312,109.945
162,20.302,109.945,20.312,109.955
163,20.302,109.955,20.312,109.965
164,20.302,109.965,20.312,109.975
165,20.302,109.975,20.312,109.985
166,20.302,109.985,20.312,109.995
167,20.302,109.995,20.312,110.005
168,20.302,110.005,20.312,110.015
169,20.302,110.015,20.312,110.025
170,20.302,110.025,20.312,110.035
171,20.302,110.035,20.312,110.045
172,20.302,110.045,20.312,110.055
173,20.302,110.055,20.312,110.065
174,20.302,110.065,20.312,110.075
175,20.302,110.075,20.312,110.085
176,20.302,110.085,20.312,110.095
177,20.302,110.095,20.312,110.105
178,20.302,110.105,20.312,110.115
179,20.302,110.115,20.312,110.125
180,20.302,110.125,20.312,110.135
181,20.302,110.135,20.312,110.145
182,20.302,110.145,20.312,110.155
183,20.302,110.155,20.312,110.165
184,20.302,110.165,20.312,110.175
185,20.302,110.175,20.312,110.185
