FID,Lat,Lon,lat1,lon1,lat2,lon4,output
0,20.227,109.92,20.222,109.915,20.232,109.925,29
1,20.237,109.93,20.232,109.925,20.242,109.935,48
2,20.247,109.92,20.242,109.915,20.252,109.925,22
3,20.247,109.93,20.242,109.925,20.252,109.935,56
4,20.247,109.94,20.242,109.935,20.252,109.945,12
5,20.247,110.12,20.242,110.115,20.252,110.125,87
6,20.247,110.13,20.242,110.125,20.252,110.135,84
7,20.247,110.14,20.242,110.135,20.252,110.145,77
8,20.247,110.15,20.242,110.145,20.252,110.155,6
9,20.247,110.16,20.242,110.155,20.252,110.165,3
10,20.247,110.17,20.242,110.165,20.252,110.175,81
11,20.247,110.18,20.242,110.175,20.252,110.185,82
12,20.257,109.92,20.252,109.915,20.262,109.925,11
13,20.257,109.93,20.252,109.925,20.262,109.935,4
14,20.257,109.94,20.252,109.935,20.262,109.945,8
15,20.257,109.95,20.252,109.945,20.262,109.955,9
16,20.257,110.12,20.252,110.115,20.262,110.125,73
17,20.257,110.13,20.252,110.125,20.262,110.135,35
18,20.257,110.14,20.252,110.135,20.262,110.145,61
19,20.257,110.15,20.252,110.145,20.262,110.155,47
20,20.257,110.16,20.252,110.155,20.262,110.165,76
21,20.257,110.17,20.252,110.165,20.262,110.175,64
22,20.257,110.18,20.252,110.175,20.262,110.185,52
23,20.257,110.19,20.252,110.185,20.262,110.195,6
24,20.257,110.28,20.252,110.275,20.262,110.285,52
25,20.267,109.93,20.262,109.925,20.272,109.935,56
26,20.267,109.94,20.262,109.935,20.272,109.945,60
27,20.267,109.95,20.262,109.945,20.272,109.955,46
28,20.267,109.96,20.262,109.955,20.272,109.965,4
29,20.267,110.01,20.262,110.005,20.272,110.015,34
30,20.267,110.09,20.262,110.085,20.272,110.095,23
31,20.267,110.1,20.262,110.095,20.272,110.105,23
32,20.267,110.11,20.262,110.105,20.272,110.115,73
33,20.267,110.12,20.262,110.115,20.272,110.125,30
34,20.267,110.13,20.262,110.125,20.272,110.135,42
35,20.267,110.14,20.262,110.135,20.272,110.145,59
36,20.267,110.15,20.262,110.145,20.272,110.155,16
37,20.267,110.16,20.262,110.155,20.272,110.165,13
38,20.267,110.17,20.262,110.165,20.272,110.175,52
39,20.267,110.18,20.262,110.175,20.272,110.185,76
40,20.267,110.19,20.262,110.185,20.272,110.195,77
41,20.267,110.25,20.262,110.245,20.272,110.255,88
42,20.267,110.27,20.262,110.265,20.272,110.275,79
43,20.267,110.28,20.262,110.275,20.272,110.285,90
44,20.267,110.29,20.262,110.285,20.272,110.295,71
45,20.267,110.3,20.262,110.295,20.272,110.305,22
46,20.267,110.31,20.262,110.305,20.272,110.315,79
47,20.267,110.32,20.262,110.315,20.272,110.325,50
48,20.267,110.33,20.262,110.325,20.272,110.335,62
49,20.277,109.94,20.272,109.935,20.282,109.945,39
50,20.277,109.95,20.272,109.945,20.282,109.955,3
51,20.277,109.96,20.272,109.955,20.282,109.965,7
52,20.277,109.97,20.272,109.965,20.282,109.975,59
53,20.277,110.01,20.272,110.005,20.282,110.015,60
54,20.277,110.07,20.272,110.065,20.282,110.075,52
55,20.277,110.08,20.272,110.075,20.282,110.085,16
56,20.277,110.09,20.272,110.085,20.282,110.095,67
57,20.277,110.1,20.272,110.095,20.282,110.105,79
58,20.277,110.11,20.272,110.105,20.282,110.115,58
59,20.277,110.12,20.272,110.115,20.282,110.125,33
60,20.277,110.13,20.272,110.125,20.282,110.135,84
61,20.277,110.14,20.272,110.135,20.282,110.145,6
62,20.277,110.15,20.272,110.145,20.282,110.155,41
63,20.277,110.16,20.272,110.155,20.282,110.165,28
64,20.277,110.17,20.272,110.165,20.282,110.175,16
65,20.277,110.18,20.272,110.175,20.282,110.185,25
66,20.277,110.19,20.272,110.185,20.282,110.195,18
67,20.277,110.2,20.272,110.195,20.282,110.205,53
68,20.277,110.21,20.272,110.205,20.282,110.215,84
