Id,glat,glon,lat1,lon1,lat2,lon2,vmax_gust,vmax_sust,gust_dur,sust_dur
1,20.227,109.92,20.222,109.915,20.232,109.925,51.54476715,34.59380346,840,375
2,20.237,109.93,20.232,109.925,20.242,109.935,51.70233458,34.69955341,825,360
3,20.247,109.92,20.242,109.915,20.252,109.925,52.38020755,35.15450171,825,375
4,20.247,109.93,20.242,109.925,20.252,109.935,52.10187762,34.9677031,810,360
5,20.247,109.94,20.242,109.935,20.252,109.945,51.82402129,34.78122234,825,360
6,20.247,110.12,20.242,110.115,20.252,110.125,53.03683927,35.59519414,825,360
7,20.247,110.13,20.242,110.125,20.252,110.135,53.75984972,36.08043605,825,375
8,20.247,110.14,20.242,110.135,20.252,110.145,54.09111755,36.30276346,840,375
9,20.247,110.15,20.242,110.145,20.252,110.155,54.09229207,36.30355172,840,375
10,20.247,110.16,20.242,110.155,20.252,110.165,54.46816651,36.55581645,870,390
11,20.247,110.17,20.242,110.165,20.252,110.175,54.10923163,36.31492056,870,390
12,20.247,110.18,20.242,110.175,20.252,110.185,53.67436667,36.02306488,855,390
13,20.257,109.92,20.252,109.915,20.262,109.925,52.78647682,35.42716565,825,375
14,20.257,109.93,20.252,109.925,20.262,109.935,52.50191239,35.23618281,810,375
15,20.257,109.94,20.252,109.935,20.262,109.945,52.20266207,35.03534367,810,360
16,20.257,109.95,20.252,109.945,20.262,109.955,51.9104967,34.83925953,810,375
17,20.257,110.12,20.252,110.115,20.262,110.125,53.1179789,35.64965027,825,375
18,20.257,110.13,20.252,110.125,20.262,110.135,53.74652784,36.07149519,825,375
19,20.257,110.14,20.252,110.135,20.262,110.145,54.19680711,36.37369605,840,375
20,20.257,110.15,20.252,110.145,20.262,110.155,54.2864448,36.43385557,840,375
21,20.257,110.16,20.252,110.155,20.262,110.165,54.68247562,36.69964807,870,390
22,20.257,110.17,20.252,110.165,20.262,110.175,54.34927291,36.47602209,870,390
23,20.257,110.18,20.252,110.175,20.262,110.185,53.91710405,36.18597587,855,390
24,20.257,110.19,20.252,110.185,20.262,110.195,54.18127377,36.36327099,870,405
25,20.257,110.28,20.252,110.275,20.262,110.285,54.9686907,36.89173872,915,435
26,20.267,109.93,20.262,109.925,20.272,109.935,52.89403376,35.49935151,825,375
27,20.267,109.94,20.262,109.935,20.272,109.945,52.58192588,35.28988314,810,360
28,20.267,109.95,20.262,109.945,20.272,109.955,52.26595767,35.07782394,825,375
