Id,glat,glon,lat1,lon1,lat2,lon2,vmax_gust,vmax_sust,gust_dur,sust_dur
1,20.227,109.92,20.222,109.915,20.232,109.925,33.32857274,22.36816962,1035,285
2,20.237,109.93,20.232,109.925,20.242,109.935,33.57698593,22.53488988,1035,300
3,20.247,109.92,20.242,109.915,20.252,109.925,33.6267502,22.56828872,1050,300
4,20.247,109.93,20.242,109.925,20.252,109.935,33.72778221,22.63609544,1050,300
5,20.247,109.94,20.242,109.935,20.252,109.945,33.82830238,22.70355865,1050,300
6,20.247,110.12,20.242,110.115,20.252,110.125,35.56473618,23.86895046,1110,390
7,20.247,110.13,20.242,110.125,20.252,110.135,35.6564276,23.93048832,1110,390
8,20.247,110.14,20.242,110.135,20.252,110.145,35.74712193,23.991357,1110,390
9,20.247,110.15,20.242,110.145,20.252,110.155,35.83678368,24.05153267,1110,405
10,20.247,110.16,20.242,110.155,20.252,110.165,35.92537684,24.11099117,1125,405
11,20.247,110.17,20.242,110.165,20.252,110.175,36.01286492,24.169708,1125,405
12,20.247,110.18,20.242,110.175,20.252,110.185,36.09921095,24.22765835,1125,420
13,20.257,109.92,20.252,109.915,20.262,109.925,33.77655065,22.66882594,1050,315
14,20.257,109.93,20.252,109.925,20.262,109.935,33.87908328,22.73763978,1050,315
15,20.257,109.94,20.252,109.935,20.262,109.945,33.98111464,22.80611721,1050,315
16,20.257,109.95,20.252,109.945,20.262,109.955,34.08262018,22.87424173,1065,315
17,20.257,110.12,20.252,110.115,20.262,110.125,35.74333317,23.98881421,1110,390
18,20.257,110.13,20.252,110.125,20.262,110.135,35.83670497,24.05147985,1110,390
19,20.257,110.14,20.252,110.135,20.262,110.145,35.92907929,24.11347603,1110,390
20,20.257,110.15,20.252,110.145,20.262,110.155,36.02041949,24.17477818,1110,405
21,20.257,110.16,20.252,110.155,20.262,110.165,36.11068839,24.23536134,1125,405
22,20.257,110.17,20.252,110.165,20.262,110.175,36.19984826,24.29520017,1125,405
23,20.257,110.18,20.252,110.175,20.262,110.185,36.28786087,24.35426904,1125,420
24,20.257,110.19,20.252,110.185,20.262,110.195,36.37468754,24.41254197,1125,420
25,20.257,110.28,20.252,110.275,20.262,110.285,37.06995547,24.87916474,1155,465
26,20.267,109.93,20.262,109.925,20.272,109.935,34.03088644,22.8395211,1050,315
27,20.267,109.94,20.262,109.935,20.272,109.945,34.13446198,22.90903489,1050,315
28,20.267,109.95,20.262,109.945,20.272,109.955,34.23752267,22.97820313,1065,330
