TSID,TSENAME,TSCNAME,DDATETIME,TCID,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
117,KALMAEGI,????,9/12/2014 0:00,1417,TD,13.8,132.8,15,20,1000,290,20,,,,
117,KALMAEGI,????,9/12/2014 6:00,1417,TS,13.8,131.1,18,23,998,280,15,280,180,,
117,KALMAEGI,????,9/12/2014 9:00,1417,TS,13.7,130.6,20,,995,,,,200,,
117,KALMAEGI,????,9/12/2014 12:00,1417,TS,13.7,130.1,20,25,995,267,24,300,190,,
117,KALMAEGI,????,9/12/2014 15:00,1417,TS,13.6,129.8,23,,990,,,,200,,
117,KALMAEGI,????,9/12/2014 18:00,1417,TS,13.6,129.4,23,28,990,262,15,330,220,120,
117,KALMAEGI,????,9/12/2014 21:00,1417,STS,13.7,129,25,33,988,269,14,350,240,140,
117,KALMAEGI,????,9/13/2014 0:00,1417,STS,13.9,128.7,25,30,988,278,12,350,200,140,
117,KALMAEGI,????,9/13/2014 3:00,1417,STS,14.6,128.1,28,,982,,,,280,,50
117,KALMAEGI,????,9/13/2014 6:00,1417,STS,14.8,127.5,30,38,980,302,20,380,280,170,60
117,KALMAEGI,????,9/13/2014 9:00,1417,TY,14.8,127.1,33,40,975,300,19,400,300,190,80
117,KALMAEGI,????,9/13/2014 12:00,1417,TY,15,126.8,35,42,970,300,19,400,300,190,80
117,KALMAEGI,????,9/13/2014 15:00,1417,TY,15.3,126.4,35,,970,,,,300,,80
117,KALMAEGI,????,9/13/2014 18:00,1417,TY,15.7,126,35,42,970,301,15,400,300,190,80
117,KALMAEGI,????,9/13/2014 21:00,1417,TY,16.2,125.5,35,45,970,311,19,400,300,190,80
117,KALMAEGI,????,9/14/2014 0:00,1417,TY,16.5,124.6,35,45,970,305,24,400,300,180,80
117,KALMAEGI,????,9/14/2014 3:00,1417,TY,16.7,123.8,35,45,970,299,26,450,320,220,100
117,KALMAEGI,????,9/14/2014 6:00,1417,TY,17,123.4,35,45,970,297,26,450,320,220,100
117,KALMAEGI,????,9/14/2014 9:00,1417,TY,17.7,122.7,40,50,960,299,28,460,340,240,120
117,KALMAEGI,????,9/14/2014 12:00,1417,TY,17.8,121.8,38,48,965,295,27,450,320,220,100
117,KALMAEGI,????,9/14/2014 15:00,1417,TY,18,121.1,38,48,965,296,26,450,320,220,100
117,KALMAEGI,????,9/14/2014 18:00,1417,TY,18.3,120.4,35,45,970,294,29,450,320,220,100
117,KALMAEGI,????,9/14/2014 21:00,1417,TY,18.3,119,35,45,970,279,33,450,320,220,100
117,KALMAEGI,????,9/14/2014 22:00,1417,TY,18.4,118.7,35,,970,,,,300,,80
117,KALMAEGI,????,9/14/2014 23:00,1417,TY,18.1,118.4,35,,970,,,,300,,80
117,KALMAEGI,????,9/15/2014 0:00,1417,TY,18,118.2,35,45,970,273,31,450,320,220,100
117,KALMAEGI,????,9/15/2014 1:00,1417,TY,18,117.9,35,,970,,,,400,,110
117,KALMAEGI,????,9/15/2014 2:00,1417,TY,18,117.5,35,,970,,,,440,,110
117,KALMAEGI,????,9/15/2014 3:00,1417,TY,18,117.2,38,48,965,270,34,570,450,300,120
117,KALMAEGI,????,9/15/2014 4:00,1417,TY,18.1,117,38,,965,,,,440,,110
117,KALMAEGI,????,9/15/2014 5:00,1417,TY,18.2,116.8,38,,965,,,,440,,110
117,KALMAEGI,????,9/15/2014 6:00,1417,TY,18.4,116.5,38,46,965,271,34,570,450,320,120
117,KALMAEGI,????,9/15/2014 7:00,1417,TY,18.5,116.1,38,,965,,,,450,,110
117,KALMAEGI,????,9/15/2014 8:00,1417,TY,18.7,115.8,38,,965,,,,450,,110
117,KALMAEGI,????,9/15/2014 9:00,1417,TY,18.8,115.5,38,46,965,278,31,570,450,320,120
117,KALMAEGI,????,9/15/2014 10:00,1417,TY,18.8,115.2,38,,965,,,,480,,120
117,KALMAEGI,????,9/15/2014 11:00,1417,TY,18.8,115,38,,965,,,,480,,120
