TSID,TSENAME,TSCNAME,DDATETIME,TCID,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
156,mujigae,????,10/1/2015 6:00,1521,TD,14.5,123.6,15,20,998,280,15,,,,
156,mujigae,????,10/1/2015 9:00,1521,TD,14.8,123.2,16,21,1005,290,18,,,,
156,mujigae,????,10/1/2015 12:00,1521,TD,15.2,122.8,16,21,1000,290,18,,,,
156,mujigae,????,10/1/2015 18:00,1521,TS,15.8,121.1,18,23,998,298,25,280,170,,
156,mujigae,????,10/1/2015 21:00,1521,TS,15.9,120.5,18,23,998,292,26,280,170,,
156,mujigae,????,10/2/2015 0:00,1521,TS,16.1,120,18,23,998,288,26,280,180,,
156,mujigae,????,10/2/2015 3:00,1521,TS,16.7,119.3,18,23,998,288,26,280,180,,
156,mujigae,????,10/2/2015 6:00,1521,TS,16.7,118.9,23,28,990,292,21,290,190,100,
156,mujigae,????,10/2/2015 9:00,1521,TS,16.9,118.4,23,28,990,296,20,290,190,100,
156,mujigae,????,10/2/2015 12:00,1521,STS,17.1,117.9,25,33,985,296,20,320,240,120,
156,mujigae,????,10/2/2015 15:00,1521,STS,17.2,117.1,25,33,985,283,20,320,240,120,
156,mujigae,????,10/2/2015 18:00,1521,STS,17.8,116.5,25,33,985,295,23,320,240,120,
156,mujigae,????,10/2/2015 21:00,1521,STS,18,116.2,28,36,982,297,21,350,280,180,
156,mujigae,????,10/2/2015 22:00,1521,STS,18.2,116.1,28,36,982,,,,,,
156,mujigae,????,10/2/2015 23:00,1521,STS,18.4,115.9,28,36,982,,,,,,
156,mujigae,????,10/3/2015 0:00,1521,STS,18.5,115.7,28,36,982,303,23,350,280,180,
156,mujigae,????,10/3/2015 1:00,1521,STS,18.6,115.5,28,36,982,,,,,,
156,mujigae,????,10/3/2015 2:00,1521,STS,18.7,115.2,28,36,982,,,,,,
156,mujigae,????,10/3/2015 3:00,1521,STS,18.7,115,28,36,982,306,23,350,280,180,
156,mujigae,????,10/3/2015 4:00,1521,STS,18.7,114.7,28,36,982,,,,,,
156,mujigae,????,10/3/2015 5:00,1521,STS,18.8,114.6,28,36,982,,,,,,
156,mujigae,????,10/3/2015 6:00,1521,TY,18.9,114.3,33,43,975,296,22,400,280,200,70
156,mujigae,????,10/3/2015 7:00,1521,TY,18.9,114.3,33,,975,,,,260,,70
156,mujigae,????,10/3/2015 8:00,1521,TY,19,114.2,33,,975,,,,260,,70
156,mujigae,????,10/3/2015 9:00,1521,TY,19.1,114,33,43,975,297,21,400,300,200,70
156,mujigae,????,10/3/2015 10:00,1521,TY,19.2,113.9,33,,975,,,,260,,70
156,mujigae,????,10/3/2015 11:00,1521,TY,19.3,113.7,33,43,975,,,,,,
156,mujigae,????,10/3/2015 12:00,1521,TY,19.4,113.5,38,48,965,293,21,460,320,240,90
156,mujigae,????,10/3/2015 13:00,1521,TY,19.5,113.2,38,,965,,,,260,,70
156,mujigae,????,10/3/2015 14:00,1521,TY,19.5,113,38,48,965,,,,,,
156,mujigae,????,10/3/2015 15:00,1521,STY,19.6,112.8,45,55,955,293,21,460,320,240,90
156,mujigae,????,10/3/2015 16:00,1521,STY,19.7,112.6,45,55,955,,,,,,
156,mujigae,????,10/3/2015 17:00,1521,STY,19.7,112.4,45,55,955,,,,,,
156,mujigae,????,10/3/2015 18:00,1521,STY,19.8,112.3,45,55,955,295,19,460,320,240,90
156,mujigae,????,10/3/2015 19:00,1521,STY,19.9,112.1,45,55,955,,,,,,
156,mujigae,????,10/3/2015 20:00,1521,STY,20,112,45,,955,,,,250,,80
156,mujigae,????,10/3/2015 21:00,1521,STY,20.1,111.9,48,60,950,296,20,460,320,240,90
156,mujigae,????,10/3/2015 22:00,1521,STY,20.2,111.8,48,60,950,,,,,,
156,mujigae,????,10/3/2015 23:00,1521,STY,20.3,111.7,48,60,950,,,,,,
156,mujigae,????,10/4/2015 0:00,1521,STY,20.4,111.6,48,60,950,299,19,450,320,260,120
156,mujigae,????,10/4/2015 1:00,1521,STY,20.5,111.4,48,,950,,,,200,,60
156,mujigae,????,10/4/2015 2:00,1521,STY,20.7,111.2,50,,940,,,,200,,80
156,mujigae,????,10/4/2015 3:00,1521,STY,20.9,111,50,65,940,307,19,460,330,280,120
156,mujigae,????,10/4/2015 4:00,1521,STY,21,110.8,50,,940,,,,200,,80
156,mujigae,????,10/4/2015 5:00,1521,STY,21.1,110.6,50,,940,,,,200,,80
156,mujigae,????,10/4/2015 6:00,1521,STY,21.1,110.5,50,65,940,307,19,460,330,280,120
156,mujigae,????,10/4/2015 7:00,1521,STY,21.3,110.3,48,60,945,,,,,,
156,mujigae,????,10/4/2015 8:00,1521,STY,21.4,110.2,45,55,950,,,,,,
156,mujigae,????,10/4/2015 9:00,1521,STY,21.5,110,42,52,960,308,20,420,300,230,80
156,mujigae,????,10/4/2015 10:00,1521,TY,21.7,109.8,38,,970,,,,200,,
156,mujigae,????,10/4/2015 11:00,1521,TY,21.8,109.7,35,,975,,,,200,,80
156,mujigae,????,10/4/2015 12:00,1521,TY,21.8,109.6,33,43,980,306,21,320,200,160,80
156,mujigae,????,10/4/2015 13:00,1521,TY,21.9,109.5,33,,980,,,,200,,80
156,mujigae,????,10/4/2015 14:00,1521,STS,22.1,109.3,30,,985,,,,200,,
156,mujigae,????,10/4/2015 15:00,1521,STS,22.2,109.2,28,,985,,,,200,,
156,mujigae,????,10/4/2015 16:00,1521,STS,22.3,109.1,28,,985,,,,200,,
156,mujigae,????,10/4/2015 17:00,1521,STS,22.4,109,25,,988,,,,200,,
156,mujigae,????,10/4/2015 18:00,1521,STS,22.6,108.8,25,,988,,,,200,,
156,mujigae,????,10/4/2015 19:00,1521,TS,22.8,108.7,23,,990,,,,200,,
156,mujigae,????,10/4/2015 20:00,1521,TS,22.9,108.7,23,,990,,,,200,,
156,mujigae,????,10/4/2015 21:00,1521,TS,23.1,108.6,20,,1006,,,,,,
156,mujigae,????,10/4/2015 22:00,1521,TS,23.1,108.6,18,,1007,,,,,,
156,mujigae,????,10/4/2015 23:00,1521,TS,23.1,108.4,18,,1007,,,,,,
156,mujigae,????,10/5/2015 0:00,1521,TS,23.2,108.3,18,23,1007,319,17,280,170,,
156,mujigae,????,10/5/2015 3:00,1521,TD,23.5,108.1,12,,1009,,,,,,
