TSID,TCID,TSCNAME,TSENAME,DDATETIME,LEADTIME,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
156,1521,????,mujigae,10/1/2015 6:00,6,TD,14.95,122.8,15,20,998,299,16,,,,
156,1521,????,mujigae,10/1/2015 6:00,12,TS,15.4,122,18,23,995,299,16,280,170,,
156,1521,????,mujigae,10/1/2015 6:00,18,TS,15.85,121.05,18,23,995,295,18,280,170,,
156,1521,????,mujigae,10/1/2015 6:00,24,TS,16.3,120.1,18,23,995,295,18,280,170,,
156,1521,????,mujigae,10/1/2015 6:00,36,TS,17.5,117.9,23,28,990,299,22,330,220,120,
156,1521,????,mujigae,10/1/2015 6:00,48,STS,18.5,116,28,36,985,298,19,380,270,170,
156,1521,????,mujigae,10/1/2015 6:00,60,STS,19.5,113.9,30,38,980,296,20,400,290,190,80
156,1521,????,mujigae,10/1/2015 6:00,72,TY,20.5,111.6,35,45,975,294,21,430,320,210,100
156,1521,????,mujigae,10/1/2015 6:00,96,STS,22.1,107.8,25,33,988,294,18,350,240,140,
156,1521,????,mujigae,10/1/2015 6:00,120,TD,24,105.6,13,18,1002,311,13,,,,
156,1521,????,mujigae,10/1/2015 9:00,6,TD,15.4,122.15,16,21,1005,300,21,,,,
156,1521,????,mujigae,10/1/2015 9:00,12,TD,16,121.1,16,21,1005,300,21,,,,
156,1521,????,mujigae,10/1/2015 9:00,18,TD,16.6,120.2,16,21,1005,303,18,,,,
156,1521,????,mujigae,10/1/2015 9:00,24,TS,17.1,119.1,18,23,1000,300,18,280,170,,
156,1521,????,mujigae,10/1/2015 9:00,36,TS,17.9,117.5,23,28,990,300,13,330,220,120,
156,1521,????,mujigae,10/1/2015 9:00,48,STS,18.8,115.7,28,36,985,299,18,380,270,170,
156,1521,????,mujigae,10/1/2015 9:00,60,STS,19.8,113.7,30,38,980,298,20,400,290,190,80
